iter	Passed	Remaining
0	281	280778
1	513	256022
2	734	244109
3	988	246159
4	1235	245889
5	1408	233394
6	1617	229503
7	1832	227198
8	2060	226878
9	2274	225199
10	2479	222942
11	2641	217492
12	2862	217319
13	3086	217398
14	3333	218892
15	3530	217141
16	3707	214399
17	3919	213813
18	4181	215918
19	4348	213091
20	4567	212913
21	4803	213555
22	4979	211530
23	5195	211273
24	5413	211128
25	5635	211114
26	5851	210885
27	6063	210491
28	6224	208420
29	6502	210237
30	6683	208908
31	6906	208936
32	7106	208239
33	7273	206655
34	7442	205197
35	7622	204116
36	7853	204395
37	8057	203976
38	8232	202869
39	8472	203339
40	8629	201843
41	8789	200484
42	8975	199760
43	9235	200660
44	9423	199993
45	9654	200215
46	9807	198853
47	10010	198533
48	10195	197880
49	10445	198469
50	10586	196983
51	10835	197541
52	11049	197427
53	11246	197026
54	11458	196873
55	11604	195618
56	11785	194982
57	11972	194449
58	12142	193664
59	12396	194206
60	12563	193399
61	12774	193262
62	13041	193972
63	13211	193221
64	13392	192648
65	13587	192287
66	13760	191623
67	13932	190963
68	14145	190858
69	14325	190320
70	14517	189957
71	14733	189896
72	14934	189649
73	15167	189796
74	15429	190296
75	15633	190068
76	15884	190407
77	16101	190325
78	16344	190549
79	16529	190094
80	16719	189694
81	16856	188714
82	16987	187678
83	17222	187807
84	17492	188304
85	17640	187477
86	17841	187231
87	18020	186761
88	18215	186449
89	18413	186183
90	18574	185545
91	18743	184987
92	18911	184433
93	19096	184060
94	19349	184333
95	19513	183756
96	19709	183477
97	19902	183183
98	20124	183154
99	20286	182575
100	20459	182112
101	20704	182284
102	20956	182500
103	21091	181708
104	21296	181525
105	21480	181168
106	21695	181066
107	21852	180484
108	22056	180300
109	22207	179682
110	22366	179134
111	22504	178429
112	22630	177637
113	22867	177725
114	23066	177511
115	23266	177307
116	23441	176915
117	23581	176259
118	23816	176318
119	24291	178138
120	24594	178662
121	24819	178615
122	24987	178159
123	25199	178023
124	25478	178352
125	25709	178334
126	25918	178163
127	26181	178361
128	26356	177956
129	26536	177588
130	26728	177307
131	26883	176781
132	27069	176459
133	27281	176314
134	27510	176272
135	27747	176279
136	27975	176224
137	28174	175987
138	28488	176464
139	28730	176490
140	29092	177234
141	29360	177404
142	29648	177686
143	29912	177813
144	30131	177674
145	30361	177592
146	30765	178523
147	31026	178611
148	31272	178609
149	31533	178688
150	31735	178432
151	31956	178283
152	32134	177894
153	32346	177693
154	32675	178132
155	32909	178050
156	33172	178117
157	33494	178493
158	33745	178488
159	33955	178264
160	34227	178364
161	34500	178465
162	34731	178345
163	35200	179439
164	35493	179620
165	35810	179915
166	36082	179979
167	36345	179996
168	36538	179663
169	36721	179286
170	36956	179165
171	37335	179731
172	37696	180200
173	37903	179932
174	38214	180156
175	38496	180232
176	38737	180116
177	38960	179920
178	39195	179771
179	39419	179577
180	39846	180301
181	40116	180302
182	40383	180290
183	40657	180307
184	40887	180126
185	41154	180105
186	41466	180279
187	41695	180089
188	41841	179541
189	41988	179002
190	42178	178651
191	42344	178201
192	42517	177781
193	42694	177379
194	42880	177018
195	43081	176722
196	43220	176172
197	43395	175773
198	43569	175371
199	43793	175173
200	43944	174684
201	44094	174195
202	44354	174141
203	44604	174044
204	44787	173686
205	44974	173349
206	45211	173200
207	45385	172814
208	45603	172595
209	45790	172259
210	45975	171917
211	46152	171548
212	46298	171064
213	46454	170624
214	46648	170320
215	46811	169907
216	46973	169495
217	47103	168967
218	47312	168724
219	47501	168413
220	47693	168115
221	47866	167746
222	48053	167434
223	48280	167255
224	48457	166909
225	48691	166758
226	48892	166493
227	49030	166016
228	49189	165610
229	49391	165353
230	49534	164901
231	49717	164581
232	49875	164183
233	50062	163880
234	50233	163525
235	50435	163273
236	50633	163010
237	50822	162718
238	50996	162376
239	51164	162021
240	51377	161805
241	51611	161659
242	51811	161404
243	51961	160993
244	52130	160647
245	52303	160311
246	52454	159911
247	52660	159679
248	52839	159366
249	53006	159019
250	53192	158728
251	53411	158538
252	53626	158336
253	53873	158227
254	54063	157949
255	54230	157607
256	54374	157198
257	54511	156773
258	54681	156444
259	54867	156162
260	55009	155754
261	55174	155415
262	55367	155154
263	55575	154939
264	55772	154690
265	55938	154355
266	56145	154136
267	56294	153760
268	56447	153395
269	56663	153200
270	56827	152867
271	56958	152448
272	57137	152156
273	57303	151833
274	57485	151551
275	57720	151410
276	57934	151215
277	58153	151032
278	58330	150738
279	58482	150382
280	58638	150040
281	58881	149918
282	59074	149668
283	59243	149360
284	59395	149009
285	59539	148641
286	59681	148267
287	59877	148030
288	60053	147744
289	60266	147549
290	60417	147203
291	60587	146903
292	60748	146585
293	60924	146301
294	61102	146025
295	61286	145762
296	61484	145534
297	61681	145302
298	61901	145127
299	62109	144921
300	62273	144614
301	62463	144368
302	62616	144038
303	62777	143727
304	62954	143454
305	63229	143403
306	63368	143042
307	63560	142805
308	63781	142630
309	63929	142295
310	64060	141921
311	64211	141594
312	64451	141463
313	64678	141303
314	64900	141131
315	65101	140915
316	65273	140636
317	65421	140306
318	65586	140013
319	65740	139697
320	65896	139388
321	66094	139166
322	66309	138983
323	66448	138638
324	66609	138342
325	66730	137964
326	66928	137745
327	67092	137458
328	67283	137225
329	67489	137023
330	67622	136674
331	67792	136402
332	67964	136132
333	68159	135910
334	68354	135687
335	68514	135397
336	68726	135208
337	68915	134976
338	69063	134663
339	69257	134440
340	69487	134288
341	69669	134043
342	69905	133900
343	70058	133599
344	70216	133310
345	70408	133084
346	70609	132875
347	70823	132693
348	70999	132436
349	71169	132171
350	71371	131966
351	71518	131658
352	71720	131452
353	71887	131183
354	72088	130977
355	72345	130872
356	72521	130619
357	72685	130347
358	72854	130082
359	73000	129778
360	73190	129553
361	73371	129312
362	73573	129108
363	73768	128892
364	73958	128667
365	74121	128395
366	74327	128199
367	74540	128015
368	74767	127853
369	74936	127594
370	75102	127330
371	75294	127110
372	75477	126874
373	75625	126582
374	75799	126332
375	75954	126051
376	76159	125854
377	76370	125668
378	76567	125458
379	76736	125201
380	76928	124984
381	77093	124721
382	77242	124435
383	77365	124107
384	77544	123870
385	77735	123651
386	77944	123462
387	78099	123188
388	78283	122960
389	78433	122677
390	78616	122448
391	78825	122260
392	78998	122014
393	79144	121729
394	79352	121540
395	79542	121322
396	79790	121192
397	79949	120929
398	80112	120670
399	80271	120406
400	80476	120212
401	80608	119910
402	80763	119642
403	80985	119473
404	81189	119277
405	81351	119022
406	81582	118865
407	81819	118718
408	82001	118490
409	82209	118302
410	82408	118098
411	82547	117810
412	82672	117502
413	82848	117268
414	83046	117065
415	83214	116820
416	83358	116541
417	83523	116293
418	83820	116228
419	84177	116245
420	84405	116082
421	84544	115798
422	84741	115592
423	84895	115330
424	85054	115073
425	85209	114813
426	85361	114548
427	85552	114336
428	85710	114080
429	85869	113827
430	86005	113543
